Runtime, 398, 104, 111, 98, 114, 107, 115, 98, 100, 111, 117, 109, 116, 87, 132, 104, 113, 120, 108, 92, 115, 79, 81, 85, 104, 109, 100, 96, 114, 125, 103, 98, 111, 109, 99, 93, 132, 85, 95, 101, 110, 105, 111, 97, 139, 110, 117, 98, 99, 106, 
Coins Used, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 6, 2, 1, 2, 1, 2, 3, 4, 5, 6, 2, 3, 4, 5, 6, 7, 3, 2, 3, 2, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 8, 4, 3, 4, 3, 4, 5, 6, 7, 8, 
Amount, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
