Runtime, 555, 266, 268, 259, 283, 329, 383, 383, 415, 431, 421, 398, 415, 559, 594, 511, 521, 567, 594, 632, 523, 545, 602, 643, 618, 648, 678, 707, 736, 786, 801, 847, 853, 931, 898, 939, 968, 1071, 1020, 1127, 1141, 1145, 1113, 1158, 1190, 1230, 1214, 1255, 1279, 1292, 
Coins Used, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 6, 2, 1, 2, 1, 2, 3, 3, 2, 3, 2, 3, 4, 4, 3, 2, 3, 2, 3, 2, 3, 3, 4, 3, 4, 3, 1, 2, 3, 4, 3, 4, 2, 3, 3, 4, 4, 5, 3, 2, 
Amount, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
