Runtime, 1197, 889, 668, 647, 930, 1068, 1174, 1249, 1349, 1744, 2059, 2329, 2332, 2408, 3026, 3201, 3481, 3774, 4224, 4894, 5146, 5571, 5926, 8400, 7470, 7993, 8244, 8919, 9207, 10861, 11219, 11688, 12490, 13257, 14852, 15712, 16480, 17243, 18882, 21441, 21223, 22273, 23589, 24880, 26306, 29720, 29807, 31350, 32200, 34152, 
Coins Used, 1, 2, 3, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 2, 3, 4, 5, 6, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 2, 3, 4, 5, 6, 2, 3, 4, 5, 6, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 1, 
Amount, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
